Batch No,StartDate,FinishDate,Product,Para 1,Para 2,Para 3,Para 4,Para 5,Para 6,Para 7,Para 8,Para 9,Para 10,Para 11,Para 12,Para 13,Parameter Names
Batch001,.,.,RVM,4.449167205,1.032901798,0.817586218,12088.28994,0.872249544,3103.130929,1851.844868,262.0139213,2541.901627,255.3938016,1014.912497,7451.644399,248.4566219,Para 1
Batch002,.,.,RVM,,,,,,.,.,.,.,.,.,.,.,Para 2
Batch003,.,.,RVM,,,,,,.,.,.,.,.,.,.,.,Para 3
Batch005,05-Oct-00,09-Oct-00,RVM,,,,,,.,.,.,.,.,.,.,.,Para 4
Batch006,12-Oct-00,12-Oct-00,RVM,,,,,,.,.,.,.,.,.,.,.,Para 5
Batch007,19-Oct-00,23-Oct-00,RVM,,,,,,.,.,.,.,.,.,.,.,Para 6
Batch008,02-Nov-00,02-Nov-00,RVM,19.33553702,2.64332694,0.414050485,2953.090968,0.134901065,51.1,89,4.55,67.57,3.45,21.4,117.42,2.51,Para 7
Batch009,09-Nov-00,21-Nov-00,RVM,15.04574178,1.892348628,0.542768491,1772.90103,0.169683644,52.5,46,2.42,49.49,2.6,17,112.06,1.91,Para 8
Batch010,16-Nov-00,27-Jun-01,RVM,,,,,,.,.,.,.,.,.,.,.,Para 9
Batch011,23-Nov-00,04-Dec-00,RVM,18.42036982,1.289998877,0.512823526,1188.385343,0.085916715,26,23,0.6,41.11,1.07,7,115.93,0.81,Para 10
Batch012,07-Dec-00,19-Dec-00,RVM,10.55796267,1.226901365,0.48288269,1744.900472,0.066091398,19,41,0.78,33.6,0.64,4,106.7,0.43,Para 11
Batch013,18-Jan-01,06-Feb-01,RVM,18.18270696,2.858924557,0.735187174,9001.96618,0.528415508,43,178,7.65,56.41,2.43,9,.,.,Para 12
Batch014,08-Feb-01,11-Jul-01,RVM,,,,,,.,.,.,.,.,.,.,.,Para 13
Batch015,15-Feb-01,26-Feb-01,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch016,22-Feb-01,23-Feb-01,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch017,01-Mar-01,05-Mar-01,RVM,,,,,,.,.,.,.,.,.,.,.,
Batch019,01-May-01,09-May-01,RVM,11.76900017,1.186744501,0.662922946,5462.95121,0.235175198,43.2,93,4.02,36.82,1.59,4.1,397.93,1.63,
Batch021,08-May-01,16-May-01,RVM,10.18447108,1.692351817,0.724239779,2440.498757,0.10239222,49.2,279,13.73,33.92,1.67,8,233.59,1.87,
Batch023,15-May-01,24-May-01,RVM,18.5357253,1.308645616,0.618619674,2761.859705,0.224502356,51.9,63,3.27,45.62,2.37,11.5,168.59,1.94,
Batch025,22-May-01,30-May-01,RVM,11.77026178,1.65080132,0.458013043,1138.829117,0.085980715,47.82,67,3.2,53.81,2.57,12.9,153.42,1.98,
Batch028,12-Jun-01,20-Jun-01,RVM,14.92252778,1.010050718,0.536296561,1652.978558,0.126285939,52,59,3.07,26.93,1.4,8,225.31,1.8,
Batch031,26-Jun-01,05-Jul-01,RVM,11.20116446,1.606403742,0.640963009,4212.286771,0.171390107,44,109,4.8,75.47,3.32,17,193.25,3.29,
Batch032,26-Jun-01,05-Jul-01,RVM,,,,,,.,.,.,.,.,16.6,189.25,3.14,
Batch034,03-Jul-01,11-Jul-01,RVM,12.38192428,1.435257379,0.415205366,2532.232804,0.2253153,52,81,4.21,57.14,2.97,15,205.93,3.09,
Batch036,10-Jul-01,18-Jul-01,RVM,17.91508867,1.555279554,0.588339591,3067.866208,0.14819014,49.5,96,4.75,87.39,4.33,22.1,187.53,4.14,
